发放高度:399601
利息增长不合法MAN.28PPwQuaL5PSk8CxuNveHY5UYSfXR, 怀疑有退款再参选，不修改, Pre : 63.80372247873600767, Curr :0.283165565050828536
利息增长不合法MAN.46LnQzu2JJTcbTiiGbSovXptSz19A, 怀疑有退款再参选，不修改, Pre : 36.154962074824084996, Curr :0.194172480245386285
利息增长不合法MAN.pwh1BySLdi5uyvzCYyQAkLeg9yq1, 怀疑有退款再参选，不修改, Pre : 13.410860131184326383, Curr :0.155460446966074425
-112.736746192482129803
10726.875525728636543774
发放利息：[1091]个
奖励和 = 11368.054446401734493691
奖励预期 = 11404.800000
MAN.YVPYNu4SE7hpWikWpkKSB94LPK4R, 10026874115203113418752.0
MAN.4AVeLqSYjvRZCcdAAv3Twe7WVW4bL, 10227415368138867343360.0
MAN.2KUmcAVmhaiKoMof3B16sxX3XF7m8, 10000999999999999737856.0
MAN.CUVXBNBpqXipn5JtDsnWKz3e59to, 10032397222695546126336.0
MAN.2PY66NiQt3yAYMZDDZGsoRUjktLo9, 10012217496214614048768.0
MAN.HAYQc5oYVfFb3U2cSRpLnaFAi7NZ, 10008267501723818393600.0
MAN.23529t8V5Q5ivKjQCWikLLYxkWDCs, 10029415391796444266496.0
MAN.4Ed7RVHMQATaDNkxXBemr1nkXUzzX, 10002999999999999213568.0
MAN.2uYsRGHLR5BeaGZFKGkJNxhWDfwf6, 10023849249635666231296.0
MAN.5J3TTjw19W9yHKMjVktwDeNeSnrP, 10002999999999999213568.0
MAN.3jLXrJP5XpXNAoT7oEZxXo4JJngTE, 20857966084786269192192.0
MAN.2EAUwwW6Fp1vuE1in3PtnSYyhyAXF, 10008974503407091974144.0
MAN.3vqySmL6CAyGgKMoDmM8Syf3FzeFd, 10199159006281571762176.0
MAN.4BdZzvyMTssywEcrjD6WQwSnUBkyx, 10029758165475464839168.0
MAN.xZ3GRMDWLVWAjFT9H1cPAGZSs3ae, 10029759593908728233984.0
MAN.45dYH557osJrR5SQSr3gs2PpmYAa3, 14808610270506689495040.0
MAN.2LBk2m6vHPGSvUKVm9sdpCT99QRNt, 10018993494742215426048.0
MAN.4Ub4HHi4g239Nk2VdN5ZwDu4HYVaz, 10029918510186252730368.0
MAN.2CZUFdquaYQmPGSPYBZHLfUKoVJN4, 10021458973067606753280.0
MAN.3pVU7qha6TdWibAor8to6QFKVw9So, 1016273855739652565106688.0
MAN.2hZvVUzz8EHCzLW7YCAzcjJM17bJy, 10031315215586093432832.0
MAN.2BhbX6zZ9AACcdQnpNaAfFsZw65T2, 10104000000000000000000.0
MAN.UZfztcieWV4VQCrcY7WX2KwVGiyw, 10032394999131780677632.0
MAN.46EgedW9NkJ1dr6Fp3bMqrAePkYwM, 10131277358667092983808.0
MAN.fi47eQnt4cp255V8348p8df2vn3E, 10031053719026599460864.0
MAN.3WH8PcX8MRhihq8Fai1V9NdYft9SB, 10029755784992431013888.0
MAN.4TEEKF6joAmQvCQdCTmZ8Wo5jw5BZ, 10011754011089476517888.0
MAN.2dwJu561Ze5nftTpMbeNeZUURG65F, 10000999999999999737856.0
MAN.4Ag4Dtt1LT3q6EpNv4qKpjZ6x1XKj, 10054674101265084973056.0
MAN.yAZU12MLUJN2hy5q5udDFVhbT2Y5, 10059923473277103636480.0
MAN.2uNCNXmKv2qM1rvN2YMCnhSJMCDMG, 10048203253436920102912.0
MAN.FPA8Ht2GoGDfo32EC9pZoUdzYYCN, 10059909659471466463232.0
MAN.2wcArfpCVFWLpcC8i1hpZL72V37X8, 10059902488049820368896.0
MAN.wDwe6syunyVxrBQLKczfduTn3TVr, 10059899926371945676800.0
